accuracy: 0.1032110092
perword likelihood1: -10.7591865769
perword likelihood2: -11.0659411910
1	2
2	2
2	2
2	2
2	2
2	2
2	2
13	2
5	2
2	2
5	2
21	2
7	2
1	2
1	2
2	2
22	2
3	2
2	2
14	2
1	2
2	2
21	2
21	2
2	2
21	2
4	2
21	2
9	2
5	2
1	2
2	2
13	2
2	2
2	2
2	2
2	2
7	2
6	2
2	2
2	2
13	2
9	2
2	2
4	2
21	2
1	2
11	2
8	2
1	2
3	2
5	2
2	2
2	2
1	2
9	2
5	2
1	2
13	2
7	2
2	2
1	2
1	2
17	2
1	2
11	2
3	2
13	2
7	2
5	2
23	2
2	2
10	2
12	2
22	2
2	2
21	2
1	2
3	2
2	2
1	2
1	2
4	2
7	2
15	2
6	2
21	2
2	2
13	2
21	2
13	2
12	2
15	2
21	2
3	2
3	2
21	2
16	2
3	2
2	2
7	2
4	2
13	2
17	2
15	2
2	2
13	2
1	2
21	2
21	2
4	2
21	2
3	2
5	2
3	2
1	2
11	2
4	2
2	2
18	2
17	2
21	2
19	2
5	2
21	2
5	2
21	2
8	2
17	2
14	2
4	2
2	2
1	2
5	2
14	2
21	2
2	2
5	2
21	2
5	2
17	2
21	2
4	2
6	2
2	2
20	2
10	2
2	2
8	2
1	2
5	2
1	2
17	2
21	2
1	2
3	2
8	2
1	2
21	2
14	2
19	2
21	2
2	2
21	2
13	2
21	2
14	2
21	2
6	2
16	2
13	2
3	2
17	2
7	2
2	2
1	2
8	2
9	2
8	2
1	2
3	2
20	2
18	2
1	2
14	2
21	2
8	2
6	2
5	2
17	2
9	2
3	2
14	2
14	2
14	2
4	2
11	2
13	2
21	2
9	2
14	2
7	2
13	2
8	2
17	2
3	2
20	2
2	2
17	2
2	2
2	2
20	2
21	2
2	2
20	2
18	2
21	2
5	2
15	2
5	2
6	2
3	2
6	2
21	2
21	2
15	2
3	2
21	2
16	2
17	2
17	2
21	2
1	2
13	2
8	2
13	2
1	2
21	2
19	2
2	2
14	2
1	2
8	2
3	2
18	2
1	2
2	2
16	2
21	2
4	2
13	2
12	2
21	2
13	2
21	2
15	2
14	2
8	2
